,timestamp,frame,dotbot_x_mm,dotbot_y_mm,dotbot_z_mm,lh_x_mm,lh_y_mm,lh_z_mm,lh_roll_deg,lh_pitch_deg,lh_yaw_deg
163,2024-05-31T12:03:34.020000Z,807,723.43921,1051.31873,1129.32564,427.46003,-648.85271,969.25588,-124.96953,-83.61494,-37.19709
164,2024-05-31T12:03:34.030000Z,808,720.6304,1052.50581,1129.51807,427.42034,-648.90508,969.23168,-124.55228,-83.65839,-36.70708
165,2024-05-31T12:03:34.040000Z,809,717.94202,1053.73903,1129.75744,427.44435,-648.85662,969.2378,-124.845,-83.65191,-37.03619
166,2024-05-31T12:03:34.050000Z,810,715.31316,1054.93158,1129.8248,427.44723,-648.82674,969.23329,-124.67038,-83.61777,-36.88901
167,2024-05-31T12:03:34.060000Z,811,712.75149,1055.9316,1130.06208,427.45562,-648.9013,969.2231,-124.87502,-83.57356,-37.04136
168,2024-05-31T12:03:34.070000Z,812,710.09378,1056.73475,1130.17493,427.38522,-648.9271,969.23996,-124.20544,-83.68227,-36.34756
169,2024-05-31T12:03:34.080000Z,813,707.45051,1057.50794,1130.23827,427.42847,-648.88652,969.2102,-124.6138,-83.63516,-36.77115
170,2024-05-31T12:03:34.090000Z,814,704.87828,1058.27367,1130.37167,427.39449,-648.91197,969.23627,-124.27557,-83.67606,-36.43863
171,2024-05-31T12:03:34.100000Z,815,702.35102,1059.18868,1130.44657,427.35715,-648.98053,969.23835,-124.34398,-83.7512,-36.29177
172,2024-05-31T12:03:34.110000Z,816,699.76347,1059.96627,1130.578,427.37541,-648.91682,969.2087,-124.47552,-83.79758,-36.47182
173,2024-05-31T12:03:34.120000Z,817,697.30181,1060.9664,1130.51812,427.37571,-648.95686,969.23223,-124.48987,-83.76254,-36.47236
174,2024-05-31T12:03:34.130000Z,818,694.89528,1061.86575,1130.48156,427.39967,-648.97365,969.24509,-124.71062,-83.73526,-36.73289
175,2024-05-31T12:03:34.140000Z,819,692.54764,1062.78912,1130.53006,427.37668,-648.95483,969.21796,-124.35209,-83.75044,-36.35731
176,2024-05-31T12:03:34.150000Z,820,690.19463,1063.86536,1130.51142,427.40923,-648.99032,969.24671,-124.81777,-83.73708,-36.83197
177,2024-05-31T12:03:34.160000Z,821,687.6351,1065.1,1130.17482,427.33901,-648.96543,969.24036,-124.57172,-83.8236,-36.5854
178,2024-05-31T12:03:34.170000Z,822,684.95923,1066.37244,1129.87847,427.40056,-648.93987,969.22808,-124.72151,-83.77563,-36.74768
179,2024-05-31T12:03:34.180000Z,823,682.1017,1068.07378,1129.33782,427.41279,-648.95696,969.22825,-125.07085,-83.74805,-37.07339
180,2024-05-31T12:03:34.190000Z,824,679.04508,1069.62735,1128.86297,427.35442,-649.00266,969.24521,-124.3625,-83.78511,-36.31019
181,2024-05-31T12:03:34.200000Z,825,675.89018,1071.1451,1128.11995,427.41278,-648.96592,969.23852,-124.90274,-83.74253,-36.91215
182,2024-05-31T12:03:34.210000Z,826,672.76515,1072.83611,1127.49176,427.38411,-648.95358,969.2464,-124.56504,-83.76261,-36.57382
183,2024-05-31T12:03:34.220000Z,827,669.84542,1074.1642,1126.78486,427.40031,-648.98475,969.26153,-124.96799,-83.73682,-36.9315
184,2024-05-31T12:03:34.230000Z,828,666.78353,1075.72018,1125.87063,427.33777,-649.03437,969.24228,-124.44975,-83.81892,-36.36786
185,2024-05-31T12:03:34.240000Z,829,664.04173,1077.25636,1125.1406,427.34433,-649.00809,969.26121,-124.64722,-83.76628,-36.62411
